Date,Open,High,Low,Close,Adj Close,Volume
2020-12-02,68400,69900,68300,69500,66878.5,29703942
2020-12-03,70100,70500,69300,69700,67070.95313,23677989
2020-12-04,70400,72100,70100,71500,68803.05469,28130533
2020-12-07,72400,73500,71900,72900,70150.25,28490496
2020-12-08,72200,72900,71600,71700,68995.50781,25000338
2020-12-09,72100,73900,72000,73900,71112.53125,24077996
2020-12-10,72700,73800,72500,72900,70150.25,39882928
2020-12-11,73500,73800,73100,73400,70631.39063,18486672
2020-12-14,73600,74500,73200,73800,71016.3125,21510415
2020-12-15,73800,74100,73300,73800,71016.3125,20863671
2020-12-16,74100,74500,73400,73800,71016.3125,17512081
2020-12-17,73400,73700,72600,73300,70535.16406,24293214
2020-12-18,73300,73700,73000,73000,70246.47656,17613029
2020-12-21,73100,73400,72000,73000,70246.47656,20367355
2020-12-22,72500,73200,72100,72300,69572.88281,16304910
2020-12-23,72400,74000,72300,73900,71112.53125,19411326
2020-12-24,74100,78800,74000,77800,74865.42969,32502870
2020-12-28,79000,80100,78200,78700,75731.48438,40085044
2020-12-29,78800,78900,77300,78300,77242.79688,30339449
2020-12-30,77400,81300,77300,81000,79906.34375,29417421
2021-01-04,81000,84400,80200,83000,81879.33594,38655276
2021-01-05,81600,83900,81600,83900,82767.17969,35335669
2021-01-06,83300,84500,82100,82200,81090.14063,42089013
2021-01-07,82800,84200,82700,82900,81780.69531,32644642
2021-01-08,83300,90000,83000,88800,87601.03125,59013307
2021-01-11,90000,96800,89500,91000,89771.32031,90306177
2021-01-12,90300,91400,87800,90600,89376.72656,48682416
2021-01-13,89800,91200,89100,89700,88488.875,36068848
2021-01-14,88700,90000,88700,89700,88488.875,26393970
2021-01-15,89800,91800,88000,88000,86811.82813,33431809
2021-01-18,86600,87300,84100,85000,83852.32813,43227951
2021-01-19,84500,88000,83600,87000,85825.33594,39895044
2021-01-20,89000,89000,86500,87200,86022.63281,25211127
2021-01-21,87500,88600,86500,88100,86910.47656,25318011
2021-01-22,89000,89700,86800,86800,85628.03125,30861661
2021-01-25,87000,89900,86300,89400,88192.92969,27258534
2021-01-26,88800,89200,86500,86700,85529.38281,33178936
2021-01-27,86600,87700,85600,85600,84444.23438,26423070
2021-01-28,83200,85600,83200,83700,82569.88281,31859808
2021-01-29,84500,85000,82000,82000,80892.83594,39615978
2021-02-01,81700,83400,81000,83000,81879.33594,28046832
2021-02-02,84100,86400,83700,84400,83260.42969,26302077
2021-02-03,84800,85400,83400,84600,83457.73438,22112205
2021-02-04,83500,83800,82100,82500,81386.08594,24171688
2021-02-05,83100,84000,82500,83500,82372.59375,18036835
2021-02-08,83800,84200,83000,83000,81879.33594,15338765
2021-02-09,84000,84800,82700,82700,81583.39063,20898332
2021-02-10,82600,82600,81600,81600,80498.24219,23025766
2021-02-15,83800,84500,83300,84200,83063.13281,23529706
2021-02-16,84500,86000,84200,84900,83753.67969,20483100
2021-02-17,83900,84200,83000,83200,82076.64063,18307735
2021-02-18,83200,83600,82100,82100,80991.49219,21327683
2021-02-19,82300,82800,81000,82600,81484.74219,25880879
2021-02-22,83800,84200,82200,82200,81090.14063,25419886
2021-02-23,81200,82900,81100,82000,80892.83594,20587314
2021-02-24,81800,83600,81300,82000,80892.83594,26807651
2021-02-25,84000,85400,83000,85300,84148.28906,34155986
2021-02-26,82800,83400,82000,82500,81386.08594,38520800
2021-03-02,85100,85300,83000,83600,82471.22656,33498180
2021-03-03,83500,84000,82800,84000,82865.83594,19882132
2021-03-04,82600,83200,82200,82400,81287.4375,24348331
2021-03-05,81100,82600,81100,82100,80991.49219,20508971
2021-03-08,82900,83000,81600,82000,80892.83594,17641256
2021-03-09,81400,81900,80600,81400,80300.9375,25420764
2021-03-10,82400,82500,80700,80900,79807.6875,20038422
2021-03-11,81000,82500,81000,82000,80892.83594,23818297
2021-03-12,83100,83500,82400,82800,81682.03906,13530573
2021-03-15,82800,82900,81800,81800,80695.54688,13735798
2021-03-16,82200,83000,82100,82800,81682.03906,12293537
2021-03-17,82800,82900,82000,82300,81188.78906,11625146
2021-03-18,82800,83800,82600,82900,81780.69531,18585244
2021-03-19,82100,82500,81800,81900,80794.1875,15869700
2021-03-22,82000,82300,81700,82000,80892.83594,12670506
2021-03-23,82600,82900,81800,81800,80695.54688,13299907
2021-03-24,81000,81600,80700,81000,79906.34375,17926638
2021-03-25,81000,82100,80800,81200,80103.64063,14758826
2021-03-26,81400,81600,81000,81500,80399.58594,12845778
2021-03-29,81700,81700,81000,81600,80498.24219,14952134
2021-03-30,81600,82300,81300,82200,81450.48438,13121698
2021-03-31,82400,82700,81400,81400,80657.77344,17240518
2021-04-01,82500,83000,82000,82900,82144.10156,18676461
2021-04-02,84000,85200,83900,84800,84026.77344,22997538
2021-04-05,85800,86000,84800,85400,84621.29688,16255990
2021-04-06,86200,86200,85100,86000,85215.82813,19042023
2021-04-07,86100,86200,85400,85600,84819.47656,17885538
2021-04-08,85700,85700,84100,84700,83927.67969,19244259
2021-04-09,84700,84900,83400,83600,82837.71094,18193707
2021-04-12,84100,84100,83100,83200,82441.35938,12915282
2021-04-13,83000,84500,82800,84000,83234.0625,15238206
2021-04-14,84000,84300,83400,84000,83234.0625,13794652
2021-04-15,83700,84500,83400,84100,83333.15625,16377412
2021-04-16,84700,84700,83600,83900,83134.98438,15429522
2021-04-19,83800,84000,83300,83300,82540.44531,15287311
2021-04-20,83300,84000,83100,83900,83134.98438,15521965
2021-04-21,83300,83500,82500,82600,81846.82813,21636079
2021-04-22,82900,83000,82400,82400,81648.65625,13934746
2021-04-23,81900,82900,81600,82800,82045.00781,17805080
2021-04-26,82900,83500,82600,83500,82738.625,15489938
2021-04-27,83200,83300,82500,82900,82144.10156,12941533
2021-04-28,83200,83200,82100,82100,81351.39063,15596759
2021-04-29,82400,82500,81500,81700,80955.03906,20000973
2021-04-30,81900,82100,81500,81500,80756.86719,18673197
2021-05-03,81000,82400,81000,81700,80955.03906,15710336
2021-05-04,81900,82600,81800,82600,81846.82813,12532550
2021-05-06,81700,82300,81700,82300,81549.5625,17047511
2021-05-07,81800,82100,81500,81900,81153.21094,14154882
2021-05-10,82300,83500,81800,83200,82441.35938,19385027
2021-05-11,82500,82600,81100,81200,80459.60156,28996680
2021-05-12,80800,81200,79800,80000,79270.53906,35812268
2021-05-13,78900,79600,78400,78500,77784.21094,31490096
2021-05-14,79000,80300,78900,80100,79369.625,16450920
2021-05-17,80800,80900,79200,79600,78874.1875,17740855
2021-05-18,79600,80000,79100,79600,78874.1875,17494407
2021-05-20,79400,79700,79100,79500,78775.10156,16541828
2021-05-21,80100,81500,79800,80100,79369.625,20961714
2021-05-24,80100,80400,79500,79700,78973.27344,13398666
2021-05-25,80000,80400,79800,79900,79171.44531,13628942
2021-05-26,80400,80500,79700,79800,79072.36719,11984359
2021-05-27,80000,80000,79100,79600,78874.1875,23198510
2021-05-28,79800,80400,79400,80100,79369.625,12360199
2021-05-31,80300,80600,79600,80500,79765.98438,13321324
2021-06-01,80500,81300,80100,80600,79865.0625,14058401
2021-06-02,80400,81400,80300,80800,80063.25,16414644
2021-06-03,81300,83000,81100,82800,82045.00781,29546007
2021-06-04,82700,82700,81500,82200,81450.48438,18112259
2021-06-07,82700,82800,81600,81900,81153.21094,16496197
2021-06-08,82300,82600,81800,81900,81153.21094,12781226
2021-06-09,81500,82000,81100,81100,80360.50781,14908823
2021-06-10,81300,81400,80900,81000,80261.42188,17586995
2021-06-11,81200,81700,80700,81000,80261.42188,14087962
2021-06-14,80800,80900,80500,80500,79765.98438,10550078
2021-06-15,80900,81200,80600,80900,80162.32813,10075685
2021-06-16,81500,81900,81100,81800,81054.125,14999855
2021-06-17,81100,81300,80700,80900,80162.32813,14007385
2021-06-18,81100,81100,80500,80500,79765.98438,14916721
2021-06-21,79700,80000,79600,79900,79171.44531,16063340
2021-06-22,80200,80300,79900,80000,79270.53906,11773365
2021-06-23,80500,80600,79900,80100,79369.625,13856548
2021-06-24,80400,81400,80100,81200,80459.60156,18771080
2021-06-25,81500,81900,81200,81600,80855.94531,13481405
2021-06-28,81700,82000,81600,81900,81153.21094,11578529
2021-06-29,81900,82100,80800,81000,80616.76563,15744317
2021-06-30,81100,81400,80700,80700,80318.1875,13288643
2021-07-01,80500,80600,80000,80100,79721.02344,13382882
2021-07-02,80000,80400,79900,80000,79621.5,8753097
2021-07-05,80100,80800,80000,80400,80019.60156,8330969
2021-07-06,80600,81200,80500,81200,80815.82031,12131651
2021-07-07,81200,81300,80300,80800,80417.71094,15992202
2021-07-08,81100,81200,79900,79900,79521.96875,16660998
2021-07-09,79600,79800,79000,79400,79024.33594,22720577
2021-07-12,79900,80000,79500,79700,79322.91406,9768108
2021-07-13,80000,80200,79800,79800,79422.44531,9863450
2021-07-14,79400,79600,79100,79500,79123.85938,11575636
2021-07-15,79800,80600,79500,80600,80218.65625,13766279
2021-07-16,80100,80100,79500,79800,79422.44531,10859399
2021-07-19,79100,79200,78800,79000,78626.22656,13155414
2021-07-20,78500,79000,78400,79000,78626.22656,12456646
2021-07-21,79000,79100,78500,78500,78128.59375,12355296
2021-07-22,79000,79800,78900,79700,79322.91406,12618790
2021-07-23,79700,79900,79200,79300,78924.80469,9098910
2021-07-26,79400,79500,78800,78800,78427.17188,10040975
2021-07-27,79200,79400,78500,78500,78128.59375,11427693
2021-07-28,78300,79200,78100,79200,78825.28125,12743417
2021-07-29,78800,79400,78800,79000,78626.22656,14360453
2021-07-30,78900,78900,78500,78500,78128.59375,13823411
2021-08-02,79200,79500,78700,79300,78924.80469,11739124
2021-08-03,79400,81400,79300,81400,81014.875,24339360
2021-08-04,82200,83100,81800,82900,82507.77344,25642368
2021-08-05,83300,83300,82000,82100,81711.5625,18485469
2021-08-06,81900,82500,81300,81500,81114.39844,13342623
2021-08-09,81500,82300,80900,81500,81114.39844,15522581
2021-08-10,82300,82400,80100,80200,79820.54688,20362639
2021-08-11,79600,79800,78500,78500,78128.59375,30241137
2021-08-12,77100,78200,76900,77000,76635.6875,42365223
2021-08-13,75800,76000,74100,74400,74047.99219,61270643
2021-08-17,74000,75100,74000,74200,73848.9375,30944847
2021-08-18,73900,74600,73100,73900,73550.35938,29192631
2021-08-19,73500,74400,73100,73100,72754.14063,22166298
2021-08-20,73500,73900,72500,72700,72356.03125,22364803
2021-08-23,73300,74000,73000,73300,72953.19531,19384648
2021-08-24,73900,75700,73900,75600,75242.3125,21016913
2021-08-25,76200,76600,74900,75700,75341.84375,22319664
2021-08-26,76100,76200,74600,74600,74247.04688,16671494
2021-08-27,74300,75000,73800,74300,73948.46094,15172748
2021-08-30,75400,75500,74200,74600,74247.04688,12686999
2021-08-31,74900,76700,74300,76700,76337.10938,24630370
2021-09-01,76700,77100,75900,76800,76436.63281,16114775
2021-09-02,76800,76800,75700,76000,75640.42188,15347486
2021-09-03,76400,76700,76000,76600,76237.58594,12096419
2021-09-06,76800,77600,76600,77300,76934.27344,12861180
2021-09-07,77100,77100,75900,76100,75739.94531,13239401
2021-09-08,76000,76400,75600,76300,75939,11798147
2021-09-09,76400,76600,75000,75300,74943.73438,17600770
2021-09-10,75300,75600,74800,75300,74943.73438,10103212
2021-09-13,75200,76300,75100,76300,75939,11397775
2021-09-14,77100,77700,76600,76600,76237.58594,18167057
2021-09-15,77400,77400,76400,77000,76635.6875,12829128
2021-09-16,77300,77400,76100,76100,75739.94531,13067622
2021-09-17,76300,77200,75900,77200,76834.74219,16289502
2021-09-23,77500,77600,76800,77400,77033.79688,17055590
